rootname,Interrogator Filename,Q1 start time,Q2 start time,Q2 end,Q3 start time,truth value,Note (any reason why any one of the number is not good),ave both
2016-03-03_18-01-50-492,2016-03-03_18-01-50-492-I-T-interrogator.wav,144,206,305,305,T,,
2016-03-11_16-16-40-42,2016-03-11_16-16-40-42-I-B-interrogator.wav,49,176,370,,B,can't discern Q3,
2016-03-15_13-19-45-618,2016-03-15_13-19-45-618-I-B-interrogator.wav,47,164,,,B,,
2016-03-15_18-15-13-468,2016-03-15_18-15-13-468-I-T-interrogator.wav,43,148,,,T,,
2016-03-15_19-10-47-33,2016-03-15_19-10-47-33-I-B-rdulany1.wav,52,152,,,B,,
2016-03-15_21-12-05-243,2016-03-15_21-12-05-243-I-T-interrogator.wav,58,110,,,T,,
2016-03-16_10-05-49-922,2016-03-16_10-05-49-922-I-T-annabanana.wav,39,112,,,T,,
2016-06-07_10-39-27-339,2016-06-07_10-39-27-339-I-T-interrogator.wav,56,110,,,T,,
2016-06-07_12-20-38-706,2016-06-07_12-20-38-706-I-T-interrogator.wav,53,200,,,T,,
2016-06-08_13-59-09-521,2016-06-08_13-59-09-521-I-B-matb321.wav,36.93,111.88,269.635,296.618,B,,
2016-06-08_14-28-32-854,2016-06-08_14-28-32-854-I-B-ESKAiNE.wav,85,159,,,B,,
2016-06-09_09-05-50-814,2016-06-09_09-05-50-814-I-T-jay24.wav,74,123,,,T,,
2016-06-09_09-16-19-112,2016-06-09_09-16-19-112-I-T-interrogator.wav,88,139,,,T,,
2016-06-09_10-21-37-95,2016-06-09_10-21-37-95-I-B-interrogator.wav,80,146,,,B,,
2016-06-09_14-57-19-201,2016-06-09_14-57-19-201-I-B-spottmonsta.wav,82,131,,,B,,
2016-06-10_11-15-58-679,2016-06-10_11-15-58-679-I-T-interrogator.wav,62,118,,,T,,
2016-06-15_14-19-27-616,2016-06-15_14-19-27-616-I-B-interrogator.wav,110,156,,,B,,
2016-06-16_14-00-43-867,2016-06-16_14-00-43-867-I-T-interrogator.wav,60,114,,,T,,
2016-06-17_12-13-27-771,2016-06-17_12-13-27-771-I-T-interrogator.wav,54,128,,,T,,
2016-06-27_10-18-39-581,2016-06-27_10-18-39-581-I-T-midi.wav,83,44,,,T,,
2016-06-27_12-00-39-183,2016-06-27_12-00-39-183-I-T-nikicollazo.wav,103,154,,,T,,
2016-06-27_15-39-18-93,2016-06-27_15-39-18-93-I-T-mturkff21.wav,71,135,,,T,,
2016-06-27_16-30-46-620,2016-06-27_16-30-46-620-I-B-jenningska.wav,86,135,,,B,,
2016-06-27_18-38-55-777,2016-06-27_18-38-55-777-I-B-interrogator.wav,61,97,,,B,,
2016-06-28_11-01-38-934,2016-06-28_11-01-38-934-I-B-interrogator.wav,65,101,,,B,,
2016-06-28_14-32-06-170,2016-06-28_14-32-06-170-I-B-jammanjd.wav,85,150,,,B,,
2016-06-28_14-46-30-695,2016-06-28_14-46-30-695-I-B-interrogator.wav,49,75,,,B,,
2016-06-28_14-54-10-129,2016-06-28_14-54-10-129-I-T-SkiMan.wav,80,91,,,T,,
2016-06-29_11-06-57-279,2016-06-29_11-06-57-279-I-B-interrogator.mp4,55,110,,,B,Affectiva can't detect face in this video (which is decent quality).,
2016-06-30_14-03-23-90,2016-06-30_14-03-23-90-I-T-interrogator.mp4,55,103,,,T,,
2016-07-01_11-11-17-124,2016-07-01_11-11-17-124-I-B-interrogator.mp4,79,128,,,B,,
2016-07-01_11-21-24-649,2016-07-01_11-21-24-649-I-T-interrogator.mp4,64,125,,,T,,
2016-07-01_14-09-14-629,2016-07-01_14-09-14-629-I-B-interrogator.mp4,58,106,,,B,,
2016-07-01_14-17-15-163,2016-07-01_14-17-15-163-I-B-interrogator.mp4,50,110,,,B,,
2016-10-31_14-31-23-340,2016-10-31_14-31-23-340-I-T-mtworker21.wav,32,100,251,,T,,
2016-10-31_14-50-50-13,2016-10-31_14-50-50-13-I-B-interrogator.wav,86,127,278,,B,,
2016-10-31_14-57-52-839,2016-10-31_14-57-52-839-I-B-interrogator.wav,86,140,280,,B,,
2016-11-01_09-06-50-349,2016-11-01_09-06-50-349-I-T-tavisc.wav,104,214,282,,T,,
2016-11-02_09-21-12-262,2016-11-02_09-21-12-262-I-B-interrogator.wav,81,138,218,,B,,
2016-11-07_16-04-30-467,2016-11-07_16-04-30-467-I-T-mturker69.wav,58,112,233,,T,,
2016-11-07_16-31-08-51,2016-11-07_16-31-08-51-I-B-interrogator.wav,72,116,217,,B,,
2016-11-16_15-02-44-269,2016-11-16_15-02-44-269-I-T-cupcakemenace.mp4,85,199,350,,T,not sure about Q2 end,
2016-11-16_15-09-44-142,2016-11-16_15-09-44-142-I-B-Dorabella,60,162,262,,B,,
2016-11-16_15-16-14-317,2016-11-16_15-16-14-317-I-B-cupcakemenace,62,128,256,,B,,
2016-11-17_15-04-57-574,2016-11-17_15-04-57-574-I-B-Starlord5,70,142,340,,B,,
2016-11-17_15-13-20-248,2016-11-17_15-13-20-248-I-B-Starlord5,60,120,,,B,q3 not sure,
2016-11-17_15-30-42-250,2016-11-17_15-30-42-250-I-B-Larremor,93,185,,,B,q3 not sure,
2016-12-09_15-31-59-194,2016-12-09_15-31-59-194-I-T-interrogator,69,125,,,T,q3 not sure,
2016-12-09_15-43-43-692,2016-12-09_15-43-43-692-I-B-interrogator,57,117,,,B,,
2016-12-15_11-16-56-369,2016-12-15_11-16-56-369-I-T-ce1hci,68,138,,,T,,
2016-12-15_11-24-43-478,2016-12-15_11-24-43-478-I-T-rk1hci,17,104,249,,T,,
2016-12-15_11-33-07-644,2016-12-15_11-33-07-644-I-B-ce1hci,45,90,,235,B,,
